depth;datetime;value
1.7;34741.047349537;7.92
6.1;34741.047349537;7.92
11.6;34741.047349537;7.92
16.9;34741.047349537;7.92
21.7;34741.047349537;7.92
31.6;34741.047349537;7.94
41.8;34741.047349537;7.98
52;34741.047349537;11.46
62.3;34741.047349537;14.76
72;34741.047349537;15.67
82.5;34741.047349537;16.950001
88.7;34741.047349537;17.299999
1.8;34790.2096296296;7.82
5.1;34790.2097685185;7.82
10.1;34790.2099537037;7.82
15.2;34790.2101157407;7.83
20.7;34790.2103356481;7.84
30.7;34790.2106944444;7.86
40.8;34790.2110648148;7.88
51.1;34790.2114236111;7.92
60.9;34790.2117939815;14.22
71;34790.2121527778;15.98
81.7;34790.2125347222;16.85
86.4;34790.2126967593;17.15
1.7;34838.1037615741;7.57
6.5;34838.1039699074;7.55
11.4;34838.1041087963;7.56
16.6;34838.1043287037;7.57
21.5;34838.1044907407;7.57
31.5;34838.104849537;7.58
41.9;34838.1052546296;7.61
52;34838.105625;7.87
62.1;34838.1059837963;11.56
72.3;34838.1063425926;14.15
82.3;34838.1066898148;16.129999
87.4;34838.1069675926;16.67
1.237;34921.1295486111;7.3217
5.292;34921.1297337963;7.3232
10.261;34921.1299189815;7.3235
15.32;34921.1300925926;7.3894
20.195;34921.1302546296;7.2972
30.286;34921.1306018519;7.3709
40.255;34921.1309606481;7.7183
50.122;34921.1313078704;7.9354
60.296;34921.1316435185;10.5464
70.323;34921.1319907407;15.7017
80.172;34921.1323148148;16.8207
87.15;34921.1326157407;16.9634
0.921;34926.627349537;7.3283
5.3;34926.6274768518;7.3298
10.237;34926.6276736111;7.33
15.288;34926.6278356481;7.3
20.274;34926.6280208333;7.2666
30.283;34926.6283796296;7.3718
40.183;34926.6287268518;7.6922
50.249;34926.6290856482;8.0085
60.377;34926.6294097222;10.9562
70.319;34926.6297685185;15.6076
80.198;34926.6300925926;16.496
86.479;34926.6304976852;16.861099
1.922;35008.4989814815;7.4451
5.319;35008.4991666667;7.4449
10.232;35008.4993518519;7.4449
15.272;35008.4995138889;7.4448
20.272;35008.4996759259;7.4445
30.203;35008.5000115741;7.4445
40.277;35008.5003356481;7.445
50.222;35008.5006597222;8.8915
60.253;35008.5009606481;9.6425
70.284;35008.5012847222;13.3368
80.232;35008.5015856481;16.190399
87.053;35008.5019675926;16.391399
1.676;35015.3121875;7.4519
5.18;35015.3122916667;7.4519
10.136;35015.3124537037;7.4519
15.201;35015.3126157407;7.4517
20.23;35015.3127546296;7.4517
30.238;35015.3130787037;7.4516
40.404;35015.3133796296;7.4518
50.19;35015.3137615741;7.4524
60.187;35015.3141666667;11.0804
