longitude;latitude
38.22;64.71
38.2;64.71
38.15;64.71
38.13;64.69
38.14;64.67
38.15;64.66
38.14;64.65
38.14;64.65
38.14;64.65
38.12;64.65
38.09;64.65
38.06;64.64
38.05;64.63
38.05;64.62
38.04;64.62
38.05;64.61
38.04;64.61
38.05;64.6
38.04;64.6
38.04;64.59
38;64.58
38;64.59
38;64.59
37.98;64.59
37.99;64.6
37.99;64.6
37.99;64.61
37.99;64.61
38;64.62
38.02;64.62
38.04;64.63
38.04;64.64
38.06;64.64
38.07;64.65
38.09;64.66
38.12;64.67
38.07;64.7
38.07;64.71
38.03;64.72
38.01;64.72
37.99;64.73
38;64.75
38.02;64.76
38.03;64.76
38.04;64.77
38.05;64.77
38.05;64.77
38.07;64.77
38.08;64.78
38.09;64.78
38.12;64.78
38.15;64.79
38.19;64.78
38.19;64.78
38.2;64.78
38.21;64.77
38.25;64.79
38.27;64.79
38.28;64.8
38.29;64.8
38.3;64.8
38.32;64.8
38.32;64.79
38.33;64.77
38.37;64.76
38.37;64.77
38.37;64.78
38.35;64.79
38.34;64.8
38.34;64.82
38.35;64.82
38.37;64.84
38.33;64.85
38.18;64.84
38.11;64.84
38.06;64.85
38.01;64.86
38;64.86
37.98;64.87
37.87;64.89
37.86;64.9
37.82;64.91
37.79;64.92
37.75;64.94
37.73;64.95
37.71;64.95
37.69;64.96
37.7;64.98
37.7;64.99
37.71;65
37.71;65.01
37.68;65.03
37.63;65.04
37.58;65.05
37.54;65.05
37.41;65.1
37.32;65.11
37.25;65.13
37.25;65.13
37.23;65.14
37.21;65.14
37.17;65.15
37.16;65.15
37.14;65.15
37.11;65.15
37.09;65.16
37.09;65.16
37.08;65.16
37.04;65.17
37.02;65.17
37;65.17
36.97;65.16
36.95;65.16
36.94;65.15
36.91;65.15
36.88;65.15
36.86;65.15
36.85;65.15
36.85;65.15
36.82;65.14
36.83;65.12
36.82;65.12
36.83;65.12
36.84;65.12
36.85;65.11
36.86;65.1
36.85;65.08
36.86;65.08
36.86;65.07
36.85;65.05
36.84;65.03
36.84;65.02
36.84;65.02
36.81;65
36.81;65
36.81;64.99
36.81;64.98
36.82;64.98
36.83;64.97
36.81;64.95
36.77;64.95
36.75;64.95
36.74;64.94
36.72;64.94
36.71;64.94
36.68;64.93
36.66;64.93
36.66;64.92
36.64;64.9
36.61;64.9
36.6;64.9
36.59;64.9
36.57;64.9
36.54;64.91
36.55;64.92
36.54;64.92
36.52;64.93
36.5;64.93
36.48;64.93
36.44;64.93
36.44;64.91
36.45;64.9
36.45;64.89
36.46;64.86
36.51;64.84
36.53;64.83
36.53;64.82
36.56;64.82
36.56;64.81
36.57;64.81
36.56;64.81
36.52;64.82
36.52;64.8
36.52;64.77
36.55;64.74
36.53;64.71
36.56;64.71
36.58;64.72
36.66;64.71
36.69;64.71
36.72;64.69
36.73;64.69
36.75;64.67
36.77;64.65
36.79;64.63
36.83;64.6
36.84;64.59
36.87;64.58
36.88;64.56
36.91;64.53
36.98;64.49
37;64.47
37.03;64.46
37.04;64.45
37.08;64.43
37.1;64.41
37.15;64.38
37.33;64.34
37.34;64.34
37.37;64.35
37.42;64.37
37.44;64.38
37.47;64.38
37.49;64.38
37.52;64.38
37.54;64.39
37.57;64.38
37.57;64.39
37.58;64.38
37.56;64.37
37.61;64.35
37.62;64.36
37.61;64.37
37.61;64.37
37.6;64.37
37.6;64.38
37.63;64.39
37.64;64.4
37.64;64.42
37.65;64.43
37.67;64.43
37.68;64.44
37.7;64.44
37.79;64.44
37.8;64.44
37.81;64.44
37.82;64.43
37.81;64.43
37.81;64.43
37.8;64.43
37.78;64.38
37.79;64.37
37.82;64.35
37.84;64.36
37.86;64.36
37.88;64.35
37.93;64.35
37.96;64.34
37.97;64.34
37.96;64.33
37.91;64.32
37.92;64.31
37.93;64.3
37.94;64.31
37.96;64.31
38.02;64.29
38.03;64.29
38.04;64.29
38.04;64.28
38.02;64.28
38;64.27
37.96;64.27
37.94;64.24
37.9;64.23
37.89;64.21
37.9;64.2
37.94;64.16
37.99;64.15
38;64.15
38.01;64.15
38.01;64.14
38;64.15
38;64.14
38.01;64.11
38.04;64.09
38.04;64.08
38.06;64.07
38.06;64.04
38.04;64.03
38.06;64.02
38.08;64.01
38.05;63.98
38.04;63.97
38.03;63.97
38;63.94
38.01;63.93
38.05;63.92
38.07;63.92
38.07;63.92
38.06;63.91
38.04;63.91
37.97;63.93
37.92;63.91
37.9;63.9
37.87;63.89
37.8;63.88
37.78;63.89
37.73;63.9
37.69;63.9
37.65;63.89
37.63;63.88
37.64;63.85
37.63;63.83
37.61;63.81
37.54;63.79
37.42;63.78
37.39;63.79
37.31;63.8
37.25;63.81
37.25;63.82
37.25;63.83
37.22;63.87
37.22;63.87
37.19;63.88
37.16;63.88
37.13;63.89
37.1;63.89
37.07;63.88
36.99;63.88
36.96;63.89
36.95;63.9
36.96;63.91
36.94;63.91
36.93;63.92
36.92;63.91
36.93;63.91
36.93;63.9
36.89;63.89
36.82;63.89
36.81;63.91
36.82;63.91
36.82;63.92
36.8;63.91
36.79;63.92
36.79;63.91
36.77;63.9
36.68;63.91
36.64;63.91
36.63;63.92
36.64;63.94
36.63;63.94
36.61;63.94
36.6;63.95
36.59;63.95
36.56;63.95
36.49;63.95
36.45;63.96
36.45;63.97
36.46;63.98
36.44;63.98
36.42;63.97
36.32;63.99
36.31;63.98
36.3;63.98
36.3;63.98
36.3;63.97
36.3;63.96
36.32;63.96
36.31;63.94
36.3;63.95
36.31;63.96
36.29;63.96
36.3;63.97
36.28;63.98
36.26;63.99
36.26;64
36.24;64
36.25;64.01
36.24;64.01
36.25;64.02
36.25;64.03
36.26;64.03
36.26;64.05
36.26;64.05
36.25;64.06
36.22;64.06
36.18;64.07
36.19;64.08
36.18;64.09
36.16;64.09
36.17;64.09
36.17;64.1
36.18;64.1
36.16;64.11
36.17;64.11
36.17;64.11
36.18;64.11
36.18;64.11
36.21;64.11
36.23;64.12
36.24;64.12
36.24;64.13
36.22;64.14
36.21;64.14
36.19;64.15
36.18;64.14
36.17;64.14
36.15;64.15
36.16;64.17
36.15;64.17
36.14;64.17
36.1;64.19
36.09;64.19
36.1;64.2
36.04;64.21
36.01;64.18
36.02;64.17
36.02;64.16
36;64.16
35.98;64.16
35.95;64.18
35.95;64.19
35.95;64.2
35.96;64.21
35.94;64.22
35.93;64.21
35.92;64.22
35.91;64.23
35.89;64.24
35.91;64.25
35.91;64.26
35.92;64.26
35.92;64.27
35.88;64.28
35.86;64.3
35.82;64.32
35.81;64.32
35.8;64.33
35.78;64.32
35.76;64.32
35.75;64.32
35.75;64.34
35.74;64.34
35.73;64.34
35.72;64.34
35.7;64.36
35.68;64.36
35.67;64.36
35.65;64.37
35.64;64.37
35.64;64.37
35.63;64.37
35.63;64.37
35.63;64.38
35.62;64.38
35.62;64.38
35.6;64.38
35.58;64.37
35.61;64.37
35.61;64.36
35.64;64.35
35.65;64.34
35.65;64.33
35.62;64.31
35.59;64.31
35.57;64.32
35.57;64.32
35.55;64.33
35.53;64.32
35.54;64.32
35.52;64.32
35.52;64.32
35.5;64.32
35.49;64.31
35.47;64.3
35.46;64.29
35.43;64.28
35.4;64.28
35.4;64.28
35.4;64.29
35.39;64.29
35.39;64.29
35.38;64.3
35.36;64.29
35.33;64.29
35.32;64.31
35.33;64.31
35.33;64.33
35.33;64.33
35.34;64.34
35.34;64.34
35.33;64.34
35.32;64.34
35.31;64.34
35.26;64.35
35.21;64.34
35.19;64.34
35.18;64.35
35.17;64.34
35.14;64.35
35.13;64.37
35.12;64.38
35.12;64.39
35.13;64.39
35.12;64.4
35.11;64.4
35.12;64.4
35.12;64.41
35.09;64.41
35.08;64.41
35.08;64.41
35.07;64.41
35.07;64.41
35.06;64.41
35.03;64.4
35.01;64.41
35.01;64.41
35.02;64.41
35.02;64.42
35;64.42
35;64.41
34.97;64.42
34.97;64.42
34.98;64.43
34.98;64.43
34.98;64.44
34.97;64.44
34.98;64.45
34.99;64.46
34.99;64.47
35.01;64.47
35.02;64.48
35.02;64.48
35.03;64.48
35.03;64.49
35.01;64.49
35;64.5
35.01;64.5
34.99;64.5
34.99;64.5
34.96;64.5
34.96;64.49
34.95;64.49
34.94;64.49
34.93;64.5
34.92;64.5
34.91;64.5
34.89;64.48
34.86;64.49
34.87;64.5
34.85;64.5
34.84;64.51
34.83;64.5
34.82;64.51
