depth;datetime;value
2.066;34704.7816319444;4.68276
3;34704.7816435185;4.68265
4;34704.7816898148;4.68183
5;34704.781724537;4.68097
6;34704.7817476852;4.68004
7;34704.7817939815;4.67545
8;34704.7818287037;4.672
9;34704.7818518519;4.67141
10;34704.7818865741;4.66964
11;34704.7819097222;4.66779
12;34704.7819444444;4.66744
13;34704.7819907407;4.67464
14;34704.7820138889;4.68326
15;34704.7820486111;4.69336
16;34704.7820949074;4.69896
17;34704.7821296296;4.68737
18;34704.7821527778;4.69969
19;34704.7821875;4.7201
20;34704.7822106481;4.74613
21;34704.7822569444;4.80478
22;34704.7822916667;4.93694
23;34704.7823148148;5.20299
24;34704.782349537;5.53471
25;34704.7823958333;5.59483
26;34704.7824305556;5.47693
27;34704.7824537037;5.41375
28;34704.7825;5.3447
29;34704.7825115741;5.26267
30;34704.7825578704;5.28499
31;34704.7825925926;5.45103
32;34704.7826157407;5.4065
33;34704.782650463;5.48883
34;34704.7826967593;5.63263
35;34704.7827199074;6.00684
36;34704.7827546296;6.50673
37;34704.7828009259;7.10723
38;34704.7828125;7.18125
39;34704.7828587963;7.19808
40;34704.7828935185;7.12264
41;34704.7829166667;7.15306
42;34704.782962963;7.26426
43;34704.7829976852;7.33574
44;34704.7830208333;7.33594
45;34704.7830555556;7.3349
45.454;34704.7831018519;7.35033
3.088;34707.5683796296;3.98476
4;34707.5684027778;3.98751
5;34707.5684606481;3.99072
6;34707.5685069444;3.99376
7;34707.5685416667;3.99243
8;34707.568587963;3.99243
9;34707.5686226852;3.99243
10;34707.5686689815;3.98685
11;34707.5687037037;3.99245
12;34707.5687615741;3.98783
13;34707.5687847222;3.98783
14;34707.5688425926;3.98783
15;34707.5688888889;3.98657
16;34707.5689236111;3.9863
17;34707.5689699074;3.9871
18;34707.5690046296;3.98783
19;34707.5690625;3.98783
20;34707.5690856481;3.98783
21;34707.5691435185;3.99542
22;34707.5691898148;3.99949
23;34707.569224537;4.00405
24;34707.5692708333;4.00418
25;34707.5693055556;4.00987
26;34707.5693518519;4.0905
27;34707.5693865741;4.21307
28;34707.5694328704;4.38068
29;34707.5694907407;4.72828
30;34707.5695138889;4.99285
31;34707.5695717593;5.06112
32;34707.5696064815;5.17558
33;34707.5696527778;5.33786
34;34707.5696875;5.49158
35;34707.5697337963;5.64662
36;34707.5697916667;5.97351
37;34707.5698148148;6.60837
38;34707.5698726852;7.2182
39;34707.5699189815;7.15851
40;34707.5699537037;7.11299
41;34707.57;7.1413
42;34707.5700347222;7.2557
43;34707.5700694444;7.33618
44;34707.5701157407;7.34104
45;34707.5701736111;7.34438
45.57;34707.5701967593;7.3457
5.922;34738.6927546296;3.1385
7.028;34738.6928125;3.1364
8.029;34738.6928587963;3.1348
9.041;34738.6928935185;3.1337
10.009;34738.6929398148;3.134
11.016;34738.692974537;3.1347
11.999;34738.6929976852;3.1346
13.029;34738.6930439815;3.1344
13.993;34738.6930787037;3.1346
14.968;34738.6931018519;3.1353
15.998;34738.6931365741;3.136
16.705;34738.6931597222;3.1361
17.944;34738.6932175926;3.1363
18.91;34738.6932407407;3.1362
20.001;34738.6932986111;3.1364
21.205;34738.6933449074;3.1364
21.832;34738.6933564815;3.1359
23.041;34738.6934259259;3.1249
23.746;34738.6934259259;3.1185
25.025;34738.6934837963;3.108
25.884;34738.6935185185;3.1065
26.986;34738.6935648148;3.1022
27.913;34738.6935648148;3.1014
28.988;34738.6936226852;3.1008
30.032;34738.6936458333;3.1024
30.929;34738.6936805556;3.1071
31.957;34738.6937268519;3.1137
33.989;34738.6938078704;3.1404
35.167;34738.6938425926;3.2213
35.997;34738.6938657407;3.3995
36.977;34738.6938888889;3.8379
37.964;34738.6939467593;4.3541
38.964;34738.6939467593;4.6667
40.122;34738.6940046296;5.0416
40.966;34738.6940277778;5.3033
41.928;34738.6940625;5.5012
43.089;34738.6941087963;5.6951
43.939;34738.6941319444;5.8471
44.948;34738.6941666667;6.1787
0.198;34782.6710648148;3.59533
1;34782.671099537;3.51889
2;34782.6711226852;3.51225
3;34782.6711458333;3.51197
4;34782.6711805556;3.51073
5;34782.6712037037;3.509
6;34782.6712268519;3.50802
7;34782.6712615741;3.50801
8;34782.6712847222;3.50801
9;34782.6713078704;3.50958
10;34782.6713425926;3.50906
11;34782.6713657407;3.50715
12;34782.6713888889;3.50648
13;34782.6714236111;3.50648
14;34782.6714467593;3.50635
15;34782.6714699074;3.50505
16;34782.6715046296;3.50495
17;34782.6715277778;3.50797
18;34782.6715625;3.50355
19;34782.6715856481;3.50478
20;34782.6716087963;3.50601
21;34782.6716435185;3.50721
22;34782.6716666667;3.50765
23;34782.6716898148;3.50208
24;34782.671724537;3.4958
25;34782.6717476852;3.49575
26;34782.6717708333;3.49679
27;34782.6718055556;3.49666
28;34782.6718287037;3.49379
29;34782.6718518519;3.49011
30;34782.6718865741;3.4855
31;34782.6719097222;3.47859
32;34782.6719328704;3.4738
33;34782.6719675926;3.47041
34;34782.6719907407;3.45592
35;34782.6720138889;3.427
36;34782.6720486111;3.36419
37;34782.6720717593;3.32516
38;34782.6721064815;3.29206
39;34782.6721296296;3.27047
40;34782.6721527778;3.25184
41;34782.6721875;3.20418
42;34782.6722106481;3.12548
43;34782.6722337963;3.14971
44;34782.6722685185;3.30251
45;34782.6722916667;3.31891
45.785;34782.672337963;3.36863
1.966;34841.6239699074;8.0902
